Date,Laspeyres index,Paasche index,Fisher index
04_2019,100.0,100.0,100.00000000000004
05_2019,104.00310454545452,100.39196610728742,102.1815841851159
06_2019,103.78790238470033,100.63241038427257,102.19797838362553
07_2019,98.71566092307764,92.34987715950172,95.47973167099522
08_2019,95.88965160058845,86.4953263222888,91.07143737815646
09_2019,91.70757629719466,90.66354497608566,91.18406641660873
10_2019,111.79622114244971,108.32038739670217,110.04458180045732
11_2019,109.88368896004832,107.56423679134927,108.71777747362941
12_2019,105.652525004258,99.45742474898644,102.50818530805923
01_2020,112.17268600682544,114.9037630198001,113.5300124646462
02_2020,101.96615252702692,94.29921970452929,98.05778204493333
03_2020,103.9076077227633,97.10984432609555,100.45123996374832
04_2020,104.1985374061041,94.40744535882969,99.18224501712363
05_2020,104.68420229694078,96.18806110459539,100.34625278117738
06_2020,113.83315118536237,104.60758805491461,109.12291870267767
07_2020,99.0252041718642,91.09915497918514,94.97953685767327
08_2020,99.44202515435978,94.85527352503706,97.12157585161191
09_2020,96.99623163573501,91.5945999546836,94.25672938197559
10_2020,116.6643232213288,111.50322353681348,114.0545839101563
11_2020,121.59667246679473,113.26668562178897,117.35779510945186
12_2020,124.63186147399699,120.95579178859587,122.7800695824607
01_2021,108.72693576562966,109.38714687233313,109.05654171838415
02_2021,99.9565166175413,100.66778536598788,100.31152057857784
03_2021,55.76427367987807,59.005237120357215,57.36187053544979
04_2021,56.77238906282069,60.31429528194193,58.51655011871648
05_2021,56.97357291979489,60.18208453110977,58.555856935907286
06_2021,76.85075448610019,82.70314616992067,79.72326624977573
07_2021,71.8429225140873,77.62523479613832,74.67813420671942
08_2021,119.98944328899688,117.65551505632672,118.81674861520509
09_2021,120.05323866718918,121.52168479962342,120.78523017525009
10_2021,117.85950647489133,116.30673292640871,117.08054553346392
11_2021,120.62050488288338,119.62573294774062,120.1220891640728
12_2021,125.41108337723617,129.3453709170096,127.36303661790035
01_2022,111.66384211022826,107.73339101926302,109.68101186976017
02_2022,117.79440851306582,118.32243112201995,118.05812461599714
03_2022,112.97351267472709,115.37628561325202,114.1685782739351
04_2022,109.23257271901628,113.89464161333068,111.53925193551564
05_2022,109.75082818125703,116.24494018878609,112.95122158524883
06_2022,119.0372544965763,142.1978685895177,130.1032046959687
07_2022,117.8335298864516,124.53570364637633,121.1382745359432
08_2022,104.52998273464253,108.52535182727419,106.5089346147823
09_2022,110.42131529086554,108.90249188214574,109.65927408148997
10_2022,92.51535812761851,115.48466155349595,103.36394352901058
11_2022,118.95170616062103,116.19875723495154,117.56717410417451
12_2022,119.94626699743496,159.51293070006182,138.32201768081958
01_2023,121.15997171528325,138.14206498502193,129.37267364585176
02_2023,121.40996650475341,144.73571834885828,132.56077367296973
03_2023,130.53016630062314,138.73338551686837,134.56928283588823
04_2023,128.2919568651786,132.09385316680732,130.17902639300735
05_2023,126.73218927893429,145.65821344236153,135.8660526990049
06_2023,132.44034978240163,154.81830844515216,143.19284522348073
07_2023,115.97489105596462,151.96786917288904,132.75713567011329
08_2023,119.50602857426271,163.30829403233017,139.7008434228003
09_2023,123.51009339328489,174.5158935098881,146.81442131486548
10_2023,112.04012429068987,165.98716299402864,136.3716333132003
11_2023,116.33451439774443,193.7920231791481,150.14892910274995
12_2023,119.19025371836057,158.55506559804675,137.4707914320802
01_2024,119.35393035194679,144.70284928113918,131.4186204265946
