Date,Laspeyres index,Paasche index,Fisher index
2019_10,100.0,100.0,100.00000000000004
2019_11,95.39310941477905,95.59258129289805,95.49279327003994
2019_12,102.42031632914097,102.89577109756686,102.65776845784089
2020_01,102.41379202014731,102.41866834242626,102.41623015226482
2020_02,96.74975153691435,97.37988021611741,97.06430453881511
2020_03,99.13136119603008,99.14107596857133,99.1362184633018
2020_04,99.60735865843799,99.75976051003231,99.68353045916189
2020_05,103.73382387719012,103.8569772383202,103.7953822925531
2020_06,86.60265854474265,87.47132247320731,87.0359068006087
07_2020,112.73577411367359,113.74845490060378,113.2409824995079
08_2020,98.27465547818672,98.6713023430202,98.4727791998596
09_2020,100.7065475612241,100.93046209174123,100.8184426631272
10_2020,103.09421572735518,102.363081597904,102.72799821261572
11_2020,100.99400616079987,100.95313053696981,100.97356628050116
12_2020,93.92136523271407,93.98434428665063,93.95284948261899
01_2021,78.70384922795026,79.24964138984463,78.97627382521576
02_2021,88.1576248838689,88.1559617401545,88.15679330808965
03_2021,60.219124152613816,56.57809113357691,58.37022438102126
04_2021,99.88411558690704,99.89887333367832,99.89149418775813
05_2021,99.53125483027772,99.52162410019824,99.52643934874766
06_2021,163.57093300887863,160.261943482856,161.90798504492278
07_2021,98.14730503350823,98.13811063634888,98.14270772725762
08_2021,166.31167934573963,164.4759261438174,165.3912557813264
09_2021,96.78832362229488,96.50598279048671,96.64705010404222
10_2021,104.79141967823067,105.02926869259397,104.91027678003368
11_2021,96.62830812615726,96.6251747088908,96.62674140482262
12_2021,100.84024489423823,100.74334332600318,100.7917824649335
01_2022,98.31625484841246,98.09913386494797,98.20763435433496
02_2022,105.62025508332388,105.1047770972995,105.36220084780251
03_2022,97.60791525737581,97.54442927471696,97.57616710281084
04_2022,135.30988874090787,191.19361611311518,160.84273973119667
05_2022,105.6383916798115,102.53858479410654,104.0769483736595
06_2022,107.8143577497374,107.04097449730806,107.42697016267978
07_2022,104.61125357307802,104.54962443303806,104.58043446330966
08_2022,103.9036415722399,97.51640053434244,100.65937178690963
09_2022,95.63235270146924,93.29848258335328,94.45820976984015
10_2022,113.76688513936921,115.39177759694297,114.57645093080448
11_2022,152.26243951316405,143.99113763548266,148.06904431600276
