Date,District,Price_USD
07_2020,աջափնյակ,63087.06303582075
07_2020,ավան,73229.68112212916
07_2020,արաբկիր,106416.863794604
07_2020,դավթաշեն,90223.52910098346
07_2020,էրեբունի,59449.9780664404
07_2020,կենտրոն,175221.65693241553
07_2020,մալաթիա,60052.10178318305
07_2020,մալաթիա_սեբաստիա,68061.25327510916
07_2020,նոր_նորք,71985.69354838709
07_2020,նորք,54652.68513284341
07_2020,շենգավիթ,56904.09052453469
07_2020,քանաքեռ,60804.51388888889
07_2020,քանաքեռ_զեյթուն,79080.93023255814
02_2020,աջափնյակ,59410.51488833747
02_2020,ավան,71981.03565223253
02_2020,արաբկիր,103298.53202739179
02_2020,դավթաշեն,91421.93588526371
02_2020,էրեբունի,57661.11111111111
02_2020,կենտրոն,171854.49894276136
02_2020,մալաթիա,56506.97242497972
02_2020,մալաթիա_սեբաստիա,62214.634146341465
02_2020,նոր_նորք,69053.2945736434
02_2020,նորք,55049.60398163898
02_2020,շենգավիթ,51885.360269360266
02_2020,քանաքեռ,60477.71556550952
02_2020,քանաքեռ_զեյթուն,76043.41463414633
01_2022,աջափնյակ,66790.08019671647
01_2022,ավան,80542.24220739392
01_2022,արաբկիր,108551.12211519667
01_2022,դավթաշեն,97951.31954225352
01_2022,էրեբունի,65498.092482218526
01_2022,կենտրոն,185337.24896967577
01_2022,մալաթիա,60922.95961106956
01_2022,մալաթիա_սեբաստիա,68824.97452229299
01_2022,նոր_նորք,75193.35365853658
01_2022,նորք,54263.15204081633
01_2022,շենգավիթ,57549.30689655172
01_2022,քանաքեռ,68309.35319148937
01_2022,քանաքեռ_զեյթուն,92763.40057636888
04_2021,աջափնյակ,72083.74613003097
04_2021,ավան,91952.17391304347
04_2021,արաբկիր,114330.44703987113
04_2021,դավթաշեն,108269.51754385965
04_2021,էրեբունի,70127.55102040817
04_2021,կենտրոն,188544.38134430727
04_2021,մալաթիա_սեբաստիա,68349.01526717558
04_2021,նոր_նորք,71968.690744921
04_2021,շենգավիթ,69757.20567375887
04_2021,քանաքեռ_զեյթուն,84578.75399361023
09_2021,աջափնյակ,65391.255605381164
09_2021,ավան,75392.99123904882
09_2021,արաբկիր,107172.71453016621
09_2021,դավթաշեն,97078.43507972665
09_2021,էրեբունի,64812.98701298701
09_2021,կենտրոն,183579.99517585707
09_2021,մալաթիա,59552.9365910413
09_2021,մալաթիա_սեբաստիա,68774.25943396226
09_2021,նոր_նորք,73897.94117647059
09_2021,նորք,56743.12595419848
09_2021,շենգավիթ,58471.768121171604
09_2021,քանաքեռ,58436.93949044586
09_2021,քանաքեռ_զեյթուն,85591.61020881671
11_2022,աջափնյակ,85365.95861156542
11_2022,ավան,104294.7733505958
11_2022,արաբկիր,145063.57403799525
11_2022,դավթաշեն,123654.11294632834
11_2022,էրեբունի,82712.87204497038
11_2022,կենտրոն,242359.24000850064
11_2022,մալաթիա,80294.73389683253
11_2022,մալաթիա_սեբաստիա,106988.23529411765
11_2022,մարաշ,135000.0
11_2022,նոր_նորք,121832.40322580645
11_2022,նորք,84061.72128346797
11_2022,շենգավիթ,76951.66916598468
11_2022,քանաքեռ,96250.73275756095
11_2022,քանաքեռ_զեյթուն,150018.62962962964
06_2021,աջափնյակ,72378.94736842105
06_2021,ավան,89314.00491400491
06_2021,արաբկիր,114086.31509082441
06_2021,դավթաշեն,107818.0487804878
06_2021,էրեբունի,70544.58598726115
06_2021,կենտրոն,187327.42208311133
06_2021,մալաթիա_սեբաստիա,67959.59414225942
06_2021,նոր_նորք,71787.95161290323
06_2021,շենգավիթ,69366.93495934959
06_2021,քանաքեռ_զեյթուն,85013.97637795276
07_2022,աջափնյակ,73996.63976422581
07_2022,ավան,94117.72644081835
07_2022,արաբկիր,122486.26256720423
07_2022,դավթաշեն,106957.26934113154
07_2022,էրեբունի,70151.02244389027
07_2022,կենտրոն,210746.24670270205
07_2022,մալաթիա,70784.16801388598
07_2022,մալաթիա_սեբաստիա,76855.1574074074
07_2022,նոր_նորք,87807.52136752137
07_2022,նորք,69021.20919922416
07_2022,շենգավիթ,67438.6478971893
07_2022,քանաքեռ,83274.8581302649
07_2022,քանաքեռ_զեյթուն,106536.86274509804
01_2021,աջափնյակ,64019.07411907655
01_2021,ավան,72272.6714862774
01_2021,արաբկիր,104579.75093767035
01_2021,դավթաշեն,92682.34619188921
01_2021,էրեբունի,61906.59842519685
01_2021,կենտրոն,173073.14976339493
01_2021,մալաթիա,58986.4546899841
01_2021,մալաթիա_սեբաստիա,67272.61417322834
01_2021,նոր_նորք,72117.07482993197
01_2021,նորք,57216.46370447671
01_2021,շենգավիթ,55982.068222991344
01_2021,քանաքեռ,64827.083333333336
01_2021,քանաքեռ_զեյթուն,83414.09836065574
08_2021,աջափնյակ,64926.04519774011
08_2021,ավան,78113.20768145796
08_2021,արաբկիր,106103.44097941948
08_2021,դավթաշեն,98944.63345508275
08_2021,էրեբունի,63442.08860759494
08_2021,կենտրոն,185630.73437821688
08_2021,մալաթիա,58377.00606060606
08_2021,մալաթիա_սեբաստիա,68640.29716981133
08_2021,մարաշ,110000.0
08_2021,նոր_նորք,72186.49910233394
08_2021,նորք,54417.63486108545
08_2021,շենգավիթ,56276.73124452543
08_2021,քանաքեռ,65143.38842975206
08_2021,քանաքեռ_զեյթուն,85152.11158798283
08_2020,աջափնյակ,63276.40276710223
08_2020,ավան,79292.15465538274
08_2020,արաբկիր,104210.45668286993
08_2020,դավթաշեն,92889.27465010263
08_2020,էրեբունի,62878.62678062678
08_2020,կենտրոն,178175.83010349824
08_2020,մալաթիա,57584.533493087176
08_2020,մալաթիա_սեբաստիա,68620.65625
08_2020,նոր_նորք,70721.56661786237
08_2020,նորք,55771.97262952101
08_2020,շենգավիթ,56316.91766428021
08_2020,քանաքեռ,59691.22055427252
08_2020,քանաքեռ_զեյթուն,80302.15311004785
03_2021,աջափնյակ,71805.46623794212
03_2021,ավան,91165.93886462883
03_2021,արաբկիր,114555.23771152296
03_2021,դավթաշեն,108373.64864864865
03_2021,էրեբունի,70605.26315789473
03_2021,կենտրոն,188971.26048462256
03_2021,մալաթիա_սեբաստիա,69344.703125
03_2021,նոր_նորք,70729.71861471861
03_2021,շենգավիթ,71082.92771084337
03_2021,քանաքեռ_զեյթուն,85069.21875
02_2021,աջափնյակ,65037.39671802328
02_2021,ավան,74337.77751998419
02_2021,արաբկիր,106698.99754775394
02_2021,դավթաշեն,98429.62565345463
02_2021,էրեբունի,61167.07818930041
02_2021,կենտրոն,181666.5288577712
02_2021,մալաթիա,57670.306399184796
02_2021,մալաթիա_սեբաստիա,67345.26229508196
02_2021,նոր_նորք,71361.82417582418
02_2021,նորք,54468.11821705427
02_2021,շենգավիթ,52588.78376466206
02_2021,քանաքեռ,66888.57142857143
02_2021,քանաքեռ_զեյթուն,84612.29508196721
07_2021,աջափնյակ,72029.10284463895
07_2021,ավան,90572.6368159204
07_2021,արաբկիր,112786.96619174113
07_2021,դավթաշեն,108946.66666666667
07_2021,էրեբունի,73108.57142857143
07_2021,կենտրոն,189202.46208291204
07_2021,մալաթիա_սեբաստիա,69018.43842364532
07_2021,նոր_նորք,72032.33856893543
07_2021,շենգավիթ,69352.38095238095
07_2021,քանաքեռ_զեյթուն,85357.6490486258
04_2020,աջափնյակ,57302.49293205654
04_2020,ավան,70805.35309918986
04_2020,արաբկիր,105838.65555262953
04_2020,դավթաշեն,91536.78901947358
04_2020,էրեբունի,58736.653846153844
04_2020,կենտրոն,171337.08774861266
