Date,District,Price_USD
02_2021,արաբկիր,593.9141228134686
02_2021,դավթաշեն,421.33590424587896
02_2021,էրեբունի,1346.361309597461
02_2021,կենտրոն,864.1062249918909
02_2021,մալաթիա,985.2312899640468
02_2021,մալաթիա_սեբաստիա,377.3333333333333
02_2021,նոր_նորք,508.09375
02_2021,նորք,744.8598588160443
02_2021,շենգավիթ,294.2555757281557
02_2021,քանաքեռ,487.2852306572467
02_2021,քանաքեռ_զեյթուն,459.875
03_2020,աջափնյակ,654.712027770647
03_2020,ավան,994.4003500409722
03_2020,արաբկիր,669.9702966527337
03_2020,դավթաշեն,1183.4075241141322
03_2020,էրեբունի,1987.884227936282
03_2020,կենտրոն,913.1628920078348
03_2020,մալաթիա,659.2401039248717
03_2020,մալաթիա_սեբաստիա,2428.46875
03_2020,նոր_նորք,2736.9714285714285
03_2020,նորք,812.5431317453626
03_2020,շենգավիթ,1297.993489218681
03_2020,քանաքեռ,662.7100873832637
03_2020,քանաքեռ_զեյթուն,934.8103448275862
10_2022,աջափնյակ,736.3668051712498
10_2022,ավան,836.0818056685397
10_2022,արաբկիր,1066.1436518306316
10_2022,դավթաշեն,867.8487935059404
10_2022,էրեբունի,746.3958822447729
10_2022,կենտրոն,1596.3420722857406
10_2022,մալաթիա,663.6940995429252
10_2022,մալաթիա_սեբաստիա,892.1111111111111
10_2022,մարաշ,1475.3614635585718
10_2022,նոր_նորք,1123.0
10_2022,նորք,676.3557725764672
10_2022,շենգավիթ,1027.5169569096977
10_2022,քանաքեռ,830.1182024890211
10_2022,քանաքեռ_զեյթուն,1027.8333333333333
03_2022,աջափնյակ,368.70646638183337
03_2022,ավան,822.4736805679175
03_2022,արաբկիր,716.9863634411438
03_2022,դավթաշեն,906.2220526661935
03_2022,էրեբունի,510.9894460244458
03_2022,կենտրոն,982.6158471421742
03_2022,մալաթիա,862.6767856802594
03_2022,մալաթիա_սեբաստիա,339.93333333333334
03_2022,նոր_նորք,589.8222222222222
03_2022,նորք,1675.7797262107258
03_2022,շենգավիթ,330.9453486913616
03_2022,քանաքեռ,421.0485168739308
03_2022,քանաքեռ_զեյթուն,549.2105263157895
03_2021,աջափնյակ,450.3818181818182
03_2021,ավան,495.7536231884058
03_2021,արաբկիր,584.8287965616046
03_2021,դավթաշեն,583.641975308642
03_2021,էրեբունի,595.0
03_2021,կենտրոն,891.1296599381706
03_2021,մալաթիա_սեբաստիա,356.3333333333333
03_2021,նոր_նորք,502.3125
03_2021,շենգավիթ,351.2857142857143
03_2021,քանաքեռ_զեյթուն,466.1111111111111
01_2022,աջափնյակ,387.53178501244975
01_2022,ավան,1190.2262681944146
01_2022,արաբկիր,657.5493998106544
01_2022,դավթաշեն,800.8828110511918
01_2022,էրեբունի,567.0611898662796
01_2022,կենտրոն,966.0743827710345
01_2022,մալաթիա,357.72000121315574
01_2022,մալաթիա_սեբաստիա,328.5833333333333
01_2022,նոր_նորք,578.0909090909091
01_2022,նորք,1667.715554269816
01_2022,շենգավիթ,345.44869102957097
01_2022,քանաքեռ,451.13308456965285
01_2022,քանաքեռ_զեյթուն,542.395061728395
06_2021,աջափնյակ,414.14942528735634
06_2021,ավան,1235.76875
06_2021,արաբկիր,581.1752634498059
06_2021,դավթաշեն,988.2108843537414
06_2021,էրեբունի,535.3333333333334
06_2021,կենտրոն,834.0684442418718
06_2021,մալաթիա_սեբաստիա,3504.714285714286
06_2021,նոր_նորք,1680.1875
06_2021,շենգավիթ,343.1111111111111
06_2021,քանաքեռ_զեյթուն,449.39344262295083
02_2020,աջափնյակ,575.1078584277835
02_2020,ավան,732.0371211047293
02_2020,արաբկիր,732.1258372253228
02_2020,դավթաշեն,776.9321647312411
02_2020,էրեբունի,1710.8925098658792
02_2020,կենտրոն,898.7971459383466
02_2020,մալաթիա,582.1497939259459
02_2020,մալաթիա_սեբաստիա,2805.185185185185
02_2020,նոր_նորք,2603.810810810811
02_2020,նորք,553.2675846051601
02_2020,շենգավիթ,327.1065954558888
02_2020,քանաքեռ,375.8627806765531
02_2020,քանաքեռ_զեյթուն,929.7094017094017
12_2021,աջափնյակ,376.4541228884409
12_2021,ավան,990.4219685368748
12_2021,արաբկիր,658.483960928908
12_2021,դավթաշեն,580.484937015433
12_2021,էրեբունի,628.7403920942941
12_2021,կենտրոն,944.5032554378085
12_2021,մալաթիա,369.51122488958936
12_2021,մալաթիա_սեբաստիա,328.5833333333333
12_2021,նոր_նորք,509.7741935483871
12_2021,նորք,1856.9151133620815
12_2021,շենգավիթ,342.97576215406514
12_2021,քանաքեռ,426.7168515288818
12_2021,քանաքեռ_զեյթուն,564.3055555555555
12_2020,աջափնյակ,364.13318688511333
12_2020,ավան,839.8953286686309
12_2020,արաբկիր,670.4707441226562
12_2020,դավթաշեն,615.7484956771331
12_2020,էրեբունի,361.2361988550122
12_2020,կենտրոն,905.7602560454989
12_2020,մալաթիա,832.112290956019
12_2020,մալաթիա_սեբաստիա,3249.8260869565215
12_2020,նոր_նորք,1899.232142857143
12_2020,նորք,309.9823683370177
12_2020,շենգավիթ,314.9582372985753
12_2020,քանաքեռ,343.2009778435671
12_2020,քանաքեռ_զեյթուն,414.736
04_2022,աջափնյակ,523.0044858837286
04_2022,ավան,1022.0430261756587
04_2022,արաբկիր,880.3671183418553
04_2022,դավթաշեն,1114.9882175107475
04_2022,էրեբունի,618.8049588825537
04_2022,կենտրոն,1184.7654811448756
04_2022,մալաթիա,793.7138226542546
04_2022,մալաթիա_սեբաստիա,519.6666666666666
04_2022,նոր_նորք,2883.318181818182
04_2022,նորք,1433.8169593357952
04_2022,շենգավիթ,1279.9460794995075
04_2022,քանաքեռ,1838.9597466552393
04_2022,քանաքեռ_զեյթուն,570.5084745762712
08_2020,աջափնյակ,378.7921080533311
08_2020,ավան,695.1739628868213
08_2020,արաբկիր,583.7741762377022
08_2020,դավթաշեն,1388.692460660924
08_2020,էրեբունի,1498.2604554498967
08_2020,կենտրոն,834.7287951297689
08_2020,մալաթիա,292.9277783471755
08_2020,մալաթիա_սեբաստիա,3382.909090909091
08_2020,նոր_նորք,1935.0
08_2020,նորք,489.62981676471543
08_2020,շենգավիթ,903.9089901886122
08_2020,քանաքեռ,324.88782779555004
08_2020,քանաքեռ_զեյթուն,878.8
02_2022,աջափնյակ,553.7053735858499
02_2022,ավան,917.3930946155835
02_2022,արաբկիր,711.277764993656
02_2022,դավթաշեն,807.5244255733393
02_2022,էրեբունի,576.3808934639611
02_2022,կենտրոն,997.7354111628207
02_2022,մալաթիա,291.5132500486492
02_2022,մալաթիա_սեբաստիա,339.93333333333334
