Date,Laspeyres index,Paasche index,Fisher index
04_2019,100.0,100.0,100.00000000000004
05_2019,104.00310454545452,100.39196610728742,102.1815841851159
06_2019,99.81552175859773,99.8405163106232,99.82801825235558
07_2019,95.21233346746307,95.02843886597884,95.12034172667798
08_2019,96.88713916666012,96.6908289002431,96.7889342631562
09_2019,94.2114479170632,95.25147278288046,94.73003307878602
10_2019,121.98752903341088,122.3153331135797,122.15132111207038
11_2019,98.14263744702085,98.32364039651426,98.23309723258427
12_2019,95.90712233316903,96.1983968555564,96.0526491851245
01_2020,106.09373296199239,109.83571065295368,107.94850881649603
02_2020,88.11619822070075,93.03400610435571,90.54171924122758
03_2020,102.004644334643,102.1390560629031,102.07182807402147
04_2020,100.50109351698309,100.48367615046865,100.49238445637805
05_2020,100.28659589850295,100.33319334256913,100.30989191476877
06_2020,108.48999736566805,108.44142499278915,108.46570846031003
07_2020,87.63636760565947,87.73011736216047,87.68322995440998
08_2020,100.03990343377636,100.4776555555863,100.2585405790105
09_2020,97.61088376432247,97.83528889640266,97.7230219166173
10_2020,119.61791113825852,119.75088386332993,119.68437903373903
11_2020,104.39104518746964,104.94867360455326,104.66948804985104
12_2020,102.30140163609522,102.52473429262427,102.41300708652048
01_2021,86.75803990479476,87.68040674633816,87.21800403223774
02_2021,92.20913898102573,92.20370057319246,92.20641973701385
03_2021,57.88294019935375,57.488392307241966,57.685328932728396
04_2021,101.87199331911944,101.85140500794503,101.86169864336796
05_2021,100.45061900958888,100.44069399065494,100.44565637753573
06_2021,134.8003649695767,135.09630722807077,134.94825497347497
07_2021,93.48522120198669,93.50297622809748,93.49409829357036
08_2021,161.61835195103956,162.0539297101962,161.83599428727692
09_2021,99.74426321814724,99.67760476239602,99.71092841998251
10_2021,98.50392626636028,98.2319773446612,98.36785782641238
11_2021,102.35751715112245,102.36504995772242,102.36128348512966
12_2021,104.22560083915529,104.56832747777062,104.39682351545088
01_2022,88.45516480051002,88.79544049238237,88.62513933578644
02_2022,105.38592937459768,105.71450717360038,105.5500904161974
03_2022,96.1654977653753,96.30078376875635,96.23311699367441
04_2022,97.0430621812218,97.04174685926893,97.04240451801687
05_2022,100.50326123330208,100.63882638222539,100.57102096581167
06_2022,111.35301747310898,111.10683123105802,111.2298562412708
07_2022,99.77048130240414,94.00781949465565,96.84629779796089
08_2022,89.31565098745999,88.84092190780623,89.07797019758485
09_2022,107.31804420928081,106.23981295495726,106.77756760427637
10_2022,89.18511069922671,84.09582731768381,86.60309272001022
11_2022,131.7930809600436,118.27386582216938,124.85061943682345
12_2022,109.90625255003141,97.4495728179367,103.49066315866772
01_2023,97.57983853556848,131.7139942816941,113.36944162728557
02_2023,100.44801624619298,100.5892370467963,100.51860184597051
03_2023,107.18533870995618,106.77596737267751,106.98045722898964
04_2023,98.87623860549148,98.73246129512879,98.80432379771953
05_2023,98.43570991246256,98.66811031333637,98.55184160843694
06_2023,104.69603347279937,104.8402982673124,104.7681410386421
07_2023,89.16226681233765,88.92088083425311,89.04149202552571
08_2023,103.07268852187954,103.1502219200418,103.11144793342413
09_2023,103.41970083893031,103.52226524934377,103.47097033591366
10_2023,90.78937882387548,91.31363197131223,91.05112808102606
