Date,Laspeyres index,Paasche index,Fisher index
10_2019,100.0,100.0,100.00000000000004
11_2019,95.61082203011291,95.55685248409202,95.58383344799621
12_2019,102.12120431655048,102.20460171217918,102.16289450451717
01_2020,83.44256173145642,83.37533772781188,83.40894295717916
02_2020,78.98368462198937,78.5551856230861,78.76914374725462
03_2020,100.62530289449327,101.17394496649914,100.89925102439945
04_2020,98.3910799559989,98.9876287976116,98.68890362994486
05_2020,101.97850419232756,103.57719066562692,102.77473898056924
06_2020,84.32921325365388,84.51452137904481,84.42181647183362
07_2020,98.96442991174199,99.19145808525022,99.07787897165164
08_2020,98.3696413185112,100.35774079029834,99.35871861632356
09_2020,99.65296627339762,101.91402440436018,100.77715433943312
10_2020,104.24218078198638,107.32885512820303,105.77425924769113
11_2020,105.46018487843267,108.95555702514163,107.19362475168029
12_2020,101.76039372245815,102.5161029761898,102.13754942110735
01_2021,59.115026999402254,58.297049455607144,58.704613554248915
02_2021,72.97846931876569,73.25407834999478,73.11614397203644
03_2021,40.700563752173075,35.52364656301029,38.02410342989646
04_2021,40.71200026845311,35.92971932244202,38.24618598894148
05_2021,40.50313578496652,35.794093498403605,38.07588514093439
06_2021,60.8054444686845,58.677779348944824,59.73213920284445
07_2021,59.72439410668565,57.300657101614114,58.49997459237788
08_2021,107.5605284275257,109.4776058611508,108.51483372058296
09_2021,105.39903187480742,108.44285048916333,106.91010922874557
10_2021,112.78233959917725,116.25115058544853,114.50361017943116
11_2021,109.9796755604637,114.18927275179857,112.06470974275575
12_2021,109.69434857031435,113.24611879713696,111.45608655236535
01_2022,111.11061596919347,116.91324433195807,113.97500863207107
02_2022,115.01512583725722,121.54063896015256,118.23287142052588
03_2022,112.98810628866673,117.47474570267154,115.20958750767032
04_2022,148.68949398366672,185.25060221083984,165.96631677210686
05_2022,150.08533916119856,184.8222224951079,166.55061076953388
06_2022,154.8659071531588,194.6194679913562,173.60852646153796
07_2022,154.2079044002786,217.65393218286567,183.20468543790042
08_2022,142.66180633762232,195.15927656226287,166.85854763216665
09_2022,126.31042622885941,189.67730000591413,154.78443271106508
10_2022,134.2927547758508,242.7342040745551,180.5476251394506
11_2022,170.9753827461306,433.147382261527,272.13514926897835
12_2022,165.40738500727952,324.7834218216537,231.77915457874104
01_2023,169.5198164404655,297.92068503907825,224.72974845721313
02_2023,166.20070094075496,313.4349117787712,228.23913344765288
03_2023,172.96532273620454,314.94073009401274,233.39628322551926
04_2023,166.0227566481943,307.5349135927138,225.9597179150004
05_2023,166.8727044848886,344.7066564531243,239.83772016986038
06_2023,168.71884792909896,316.9692364824766,231.25458786430502
07_2023,146.59033582469465,311.257705546013,213.6056450190723
08_2023,144.0234211325263,320.7249039770464,214.92300461601405
09_2023,147.5733748408142,340.6811859200662,224.2219265615989
10_2023,146.7948569210478,312.01351358766857,214.01396936773835
11_2023,157.48627378589305,342.5389101574096,232.2610096149829
12_2023,138.18531307133847,265.0682821423947,191.3858499292167
01_2024,133.64293051765122,301.5373993229672,200.74446868143718
02_2024,135.15815840721805,264.7488837314912,189.16387489559176
03_2024,131.79793440364935,239.33750839685666,177.60683892244077
04_2024,132.21737657994933,243.89219020851326,179.57389999024807
05_2024,137.77001472957437,257.7789669035648,188.45214795082208
06_2024,129.98549806143595,239.8305389932653,176.56299742976222
07_2024,116.39518177708462,200.08886398188199,152.60858329314755
